#,,,,,
pl_name,ra,dec,sy_dist,sy_disterr1,sy_disterr2
EPIC 212297394 b,207.2061241,-17.6098985,418.395,7.353,-7.107
EPIC 212297394 c,207.2061241,-17.6098985,418.395,7.353,-7.107
EPIC 212424622 b,202.3313765,-14.3594358,611.804,10.285,-9.956
EPIC 212499991 b,202.488752,-12.7347749,283.29,2.043,-2.015
EPIC 212587672 b,205.4445125,-10.8625468,320.07,6.392,-6.152
EPIC 212587672 c,205.4445125,-10.8625468,320.07,6.392,-6.152
EPIC 212624936 b,210.6376171,-10.0236852,561.929,8.913,-8.644
EPIC 212624936 c,210.6376171,-10.0236852,561.929,8.913,-8.644
EPIC 212737443 b,204.2215065,-7.3180577,336.25,4.743,-4.615
EPIC 212737443 c,204.2215065,-7.3180577,336.25,4.743,-4.615
EPIC 220492298 b,16.7615005,6.588798,624.512,14.947,-14.947
EPIC 220554210 c,13.4321524,7.9952914,496.289,7.902,-7.663
EPIC 220674823 b,13.0800239,10.7947051,244.59,3.044,-2.972
EPIC 220674823 c,13.0800239,10.7947051,244.59,3.044,-2.972
EPIC 228836835 b,189.5748998,-5.2446247,150.124,1.799,-1.758
EPIC 229004835 b,186.4860415,-1.4047214,121.971,0.879,-0.866
EPIC 246851721 b,78.9198197,16.2786991,372.632,19.456,-17.644
EPIC 248847494 b,159.3890808,11.8427484,551.886,12.752,-12.752
EPIC 249893012 b,228.2482353,-16.7246474,321.296,4.189,-4.085
EPIC 249893012 c,228.2482353,-16.7246474,321.296,4.189,-4.085
EPIC 249893012 d,228.2482353,-16.7246474,321.296,4.189,-4.085
G 196-3 b,151.0884754,50.3861806,21.7912,0.01855,-0.01855
G 264-012 b,326.6719598,66.803848,16.009,0.0104,-0.0103
G 264-012 c,326.6719598,66.803848,16.009,0.0104,-0.0103
G 9-40 b,134.7188514,21.0747961,27.9276,0.0451,-0.045
GJ 1002 b,1.6764641,-7.5462123,4.84867,0.00303,-0.00304
GJ 1002 c,1.6764641,-7.5462123,4.84867,0.00303,-0.00304
GJ 1061 b,54.0032486,-44.5143104,3.67278,0.00089,-0.0009
GJ 1061 c,54.0032486,-44.5143104,3.67278,0.00089,-0.0009
GJ 1061 d,54.0032486,-44.5143104,3.67278,0.00089,-0.0009
GJ 1132 b,153.7090696,-47.1549358,12.613,0.007,-0.007
GJ 1132 c,153.7090696,-47.1549358,12.613,0.007,-0.007
GJ 1148 b,175.4326081,42.7515862,11.0143,0.0064,-0.0065
GJ 1148 c,175.4326081,42.7515862,11.0143,0.0064,-0.0065
GJ 1151 c,177.7304866,48.3732334,8.03625,0.00772,-0.00771
GJ 1214 b,258.8313991,4.9606795,14.6427,0.0372,-0.0372
GJ 1252 b,306.9286462,-56.4622865,20.373,0.0192,-0.0192
GJ 1265 b,333.4324675,-17.6870623,10.2525,0.0075,-0.0076
GJ 143 b,51.7501882,-63.500166,16.32,0.0071,-0.0071
GJ 15 A b,4.6126677,44.0247296,3.56228,0.00055,-0.00055
GJ 15 A c,4.6126677,44.0247296,3.56228,0.00055,-0.00055
GJ 160.2 b,61.6454173,-20.8564724,25.8557,0.0393,-0.0391
GJ 163 b,62.3228353,-53.3711768,15.1285,0.0072,-0.0072
GJ 163 c,62.3228353,-53.3711768,15.1285,0.0072,-0.0072
GJ 163 d,62.3228353,-53.3711768,15.1285,0.0072,-0.0072
GJ 179 b,73.0245495,6.4752347,12.356,0.0093,-0.0093
GJ 180 b,73.460097,-17.776194,11.9407,0.0045,-0.0045
GJ 180 c,73.460097,-17.776194,11.9407,0.0045,-0.0045
GJ 180 d,73.460097,-17.776194,11.9407,0.0045,-0.0045
GJ 2030 b,50.8237604,-7.7950429,37.0788,0.0647,-0.0644
GJ 2030 c,50.8237604,-7.7950429,37.0788,0.0647,-0.0644
GJ 2056 b,108.0194945,-24.8921008,28.4434,0.0234,-0.0233
GJ 229 A c,92.6435993,-21.8677233,5.75624,0.001525,-0.001525
GJ 229 b,92.6435993,-21.8677233,5.75624,0.001525,-0.001525
GJ 238 b,98.454881,-58.5250316,15.2142,0.0071,-0.0072
GJ 251 b,103.7002499,33.2664632,5.58057,0.00198,-0.00198
GJ 27.1 b,9.9980016,-44.2541679,23.6062,0.02565,-0.02565
GJ 273 b,111.852091,5.225807,5.921535,0.0206332,-0.0206332
GJ 273 c,111.852091,5.225807,5.921535,0.0206332,-0.0206332
GJ 3021 b,4.0634323,-79.8514218,17.5559,0.0073,-0.0073
GJ 3082 b,18.6432425,-53.9407751,16.6186,0.00745,-0.00745
GJ 3090 b,20.4384281,-46.7147234,22.4751,0.02605,-0.02605
GJ 3138 b,32.2977385,-16.3392495,28.4712,0.03505,-0.03505
GJ 3138 c,32.2977385,-16.3392495,28.4712,0.03505,-0.03505
GJ 3138 d,32.2977385,-16.3392495,28.4712,0.03505,-0.03505
GJ 317 b,130.2445254,-23.452809,15.1968,0.013,-0.0129
GJ 317 c,130.2445254,-23.452809,15.1968,0.013,-0.0129
GJ 328 b,133.7819507,1.5420011,20.5266,0.01685,-0.01685
GJ 328 c,133.7819507,1.5420011,20.5266,0.01685,-0.01685
GJ 3293 b,67.1484425,-25.1713396,20.1903,0.0216,-0.0216
GJ 3293 c,67.1484425,-25.1713396,20.1903,0.0216,-0.0216
GJ 3293 d,67.1484425,-25.1713396,20.1903,0.0216,-0.0216
GJ 3293 e,67.1484425,-25.1713396,20.1903,0.0216,-0.0216
GJ 3323 b,75.4868824,-6.9485133,5.37484,0.00172,-0.00172
GJ 3323 c,75.4868824,-6.9485133,5.37484,0.00172,-0.00172
GJ 3341 b,78.9471415,-31.2948458,23.619,0.0291,-0.029
GJ 338 B b,138.5916722,52.6835211,6.33256,0.00167,-0.00168
GJ 3470 b,119.7735021,15.391209,29.4214,0.0508,-0.0507
GJ 3473 b,120.5936065,3.3371629,27.3644,0.0376,-0.0376
GJ 3473 c,120.5936065,3.3371629,27.3644,0.0376,-0.0376
GJ 3512 b,130.3316616,59.4918364,9.48637,0.00857,-0.00856
GJ 3512 c,130.3316616,59.4918364,9.48637,0.00857,-0.00856
GJ 357 b,144.0074644,-21.6650634,9.44181,0.00511,-0.00511
GJ 357 c,144.0074644,-21.6650634,9.44181,0.00511,-0.00511
